item_id,genres,year_release,release_date
761140,Action,2018,2018-01-04
761140,Casual,2018,2018-01-04
761140,Indie,2018,2018-01-04
761140,Simulation,2018,2018-01-04
761140,Strategy,2018,2018-01-04
643980,Free to play,2018,2018-01-04
643980,Indie,2018,2018-01-04
643980,Rpg,2018,2018-01-04
643980,Strategy,2018,2018-01-04
670290,Casual,2017,2017-07-24
670290,Free to play,2017,2017-07-24
670290,Indie,2017,2017-07-24
670290,Simulation,2017,2017-07-24
670290,Sports,2017,2017-07-24
767400,Action,2017,2017-12-07
767400,Adventure,2017,2017-12-07
767400,Casual,2017,2017-12-07
772540,Action,2018,2018-01-04
772540,Adventure,2018,2018-01-04
772540,Simulation,2018,2018-01-04
774276,Free to play,2018,2018-01-04
774276,Indie,2018,2018-01-04
774276,Simulation,2018,2018-01-04
774276,Sports,2018,2018-01-04
774277,Free to play,2018,2018-01-04
774277,Indie,2018,2018-01-04
774277,Simulation,2018,2018-01-04
774277,Sports,2018,2018-01-04
774278,Free to play,2018,2018-01-04
774278,Indie,2018,2018-01-04
774278,Simulation,2018,2018-01-04
774278,Sports,2018,2018-01-04
768800,Casual,2018,2018-01-04
768800,Indie,2018,2018-01-04
768800,Racing,2018,2018-01-04
768800,Simulation,2018,2018-01-04
770380,Action,2018,2018-01-04
770380,Adventure,2018,2018-01-04
770380,Casual,2018,2018-01-04
770380,Indie,2018,2018-01-04
770380,Rpg,2018,2018-01-04
768880,Casual,2018,2018-01-04
768880,Indie,2018,2018-01-04
765320,Casual,2018,2018-01-03
765320,Indie,2018,2018-01-03
765320,Simulation,2018,2018-01-03
773650,Adventure,2018,2018-01-03
773650,Casual,2018,2018-01-03
773650,Indie,2018,2018-01-03
773650,Simulation,2018,2018-01-03
773650,Strategy,2018,2018-01-03
774271,Free to play,2018,2018-01-03
774271,Indie,2018,2018-01-03
774271,Simulation,2018,2018-01-03
774271,Sports,2018,2018-01-03
773690,Adventure,2018,2018-01-03
773690,Casual,2018,2018-01-03
773690,Indie,2018,2018-01-03
773690,Simulation,2018,2018-01-03
773690,Strategy,2018,2018-01-03
774279,Free to play,2018,2018-01-03
774279,Indie,2018,2018-01-03
774279,Simulation,2018,2018-01-03
774279,Sports,2018,2018-01-03
768060,Action,2018,2018-01-03
768060,Adventure,2018,2018-01-03
768060,Indie,2018,2018-01-03
775880,Racing,2017,2017-12-22
775880,Simulation,2017,2017-12-22
775880,Sports,2017,2017-12-22
775881,Racing,2017,2017-12-23
775881,Simulation,2017,2017-12-23
775881,Sports,2017,2017-12-23
653960,Action,2018,2018-01-03
653960,Indie,2018,2018-01-03
282010,Action,1997,1997-06-30
282010,Indie,1997,1997-06-30
282010,Racing,1997,1997-06-30
