item_id,genres,year_release,tags
761140,Action,2018,Fantasy
761140,Casual,2018,Fantasy
761140,Indie,2018,Fantasy
761140,Simulation,2018,Fantasy
761140,Strategy,2018,Fantasy
643980,Free to play,2018,Shooter
643980,Indie,2018,Shooter
643980,Rpg,2018,Shooter
643980,Strategy,2018,Shooter
670290,Casual,2017,Online Co-Op
670290,Free to play,2017,Online Co-Op
670290,Indie,2017,Online Co-Op
670290,Simulation,2017,Online Co-Op
670290,Sports,2017,Online Co-Op
767400,Action,2017,Action
767400,Adventure,2017,Action
767400,Casual,2017,Action
772540,Action,2018,Action
772540,Adventure,2018,Action
772540,Simulation,2018,Action
774276,Free to play,2018,Action
774276,Indie,2018,Action
774276,Simulation,2018,Action
774276,Sports,2018,Action
774277,Free to play,2018,Sports
774277,Indie,2018,Sports
774277,Simulation,2018,Sports
774277,Sports,2018,Sports
774278,Free to play,2018,Sports
774278,Indie,2018,Sports
774278,Simulation,2018,Sports
774278,Sports,2018,Sports
768800,Casual,2018,Indie
768800,Indie,2018,Indie
768800,Racing,2018,Indie
768800,Simulation,2018,Indie
770380,Action,2018,Casual
770380,Adventure,2018,Casual
770380,Casual,2018,Casual
770380,Indie,2018,Casual
770380,Rpg,2018,Casual
768880,Casual,2018,Strategy
768880,Indie,2018,Strategy
765320,Casual,2018,Adventure
765320,Indie,2018,Adventure
765320,Simulation,2018,Adventure
773650,Adventure,2018,Singleplayer
773650,Casual,2018,Singleplayer
773650,Indie,2018,Singleplayer
773650,Simulation,2018,Singleplayer
773650,Strategy,2018,Singleplayer
774271,Free to play,2018,Racing
774271,Indie,2018,Racing
774271,Simulation,2018,Racing
774271,Sports,2018,Racing
773690,Adventure,2018,Puzzle
773690,Casual,2018,Puzzle
773690,Indie,2018,Puzzle
773690,Simulation,2018,Puzzle
773690,Strategy,2018,Puzzle
774279,Free to play,2018,Sports
774279,Indie,2018,Sports
774279,Simulation,2018,Sports
774279,Sports,2018,Sports
768060,Action,2018,Simulation
768060,Adventure,2018,Simulation
768060,Indie,2018,Simulation
775880,Racing,2017,Early Access
775880,Simulation,2017,Early Access
775880,Sports,2017,Early Access
775881,Racing,2017,Early Access
775881,Simulation,2017,Early Access
775881,Sports,2017,Early Access
653960,Action,2018,Tactical
653960,Indie,2018,Tactical
282010,Action,1997,Point & Click
282010,Indie,1997,Point & Click
282010,Racing,1997,Point & Click
70,Action,1998,Turn-Based
752360,Action,2016,Massively Multiplayer
752360,Indie,2016,Massively Multiplayer
752360,Rpg,2016,Massively Multiplayer
520680,Casual,2018,Point & Click
520680,Indie,2018,Point & Click
520680,Strategy,2018,Point & Click
690410,Action,2018,Indie
766850,Casual,2018,RPG
766850,Indie,2018,RPG
766850,Simulation,2018,RPG
413120,Action,2018,Choices Matter
413120,Casual,2018,Choices Matter
413120,Indie,2018,Choices Matter
413120,Massively multiplayer,2018,Choices Matter
413120,Simulation,2018,Choices Matter
413120,Sports,2018,Choices Matter
413120,Strategy,2018,Choices Matter
773120,Adventure,2017,Indie
773120,Casual,2017,Indie
773120,Indie,2017,Indie
754360,Action,2018,Utilities
754360,Adventure,2018,Utilities
754360,Rpg,2018,Utilities
716110,Adventure,2018,RPG
716110,Casual,2018,RPG
716110,Indie,2018,RPG
716110,Rpg,2018,RPG
1640,Strategy,2006,Indie
1630,Strategy,2006,Free to Play
2400,Action,2006,Card Game
